Stelle 0,Stelle1,Stelle 2,Stelle 3,Stelle 4,Stelle 5,Stelle 6,Stelle 7,Stelle 8,Stelle 9,Stelle 10,Stelle 11,Stelle 12,Stelle 13,Stelle 14,,
10,1,1,,,,,Welcher Berg ist mit 8848 Metern der höchste der Welt?,Mount Everest,,1,Which mountain is the highest in the world at 8848 meters?,Mount Everest,,0,,
11,2,5,,,,,"Wer schrieb das Buch ""Die Leiden des Jungen Werther""? ",Johann Wolfgang von Goethe,,3,"Who wrote the book ""The Suffers of the Young Werther""?",Johann Wolfgang von Goethe,,3,,
12,3,4,,,,,Welches Organ kann von einem Zervixkarzinom betroffen sein?,Gebärmutter,Zervix bedeutet Hals auf Lateinisch. Ein Zervixkarzinom bezeichnet also Gebärmutterhalskrebs.,0,Which organ can be affected by cervical carcinoma?,uterus,Cervix means neck in Latin. A cervical carcinoma therefore refers to cancer of the cervix.,0,,
13,3,4,,,,,"Wovor fürchtet sich jemand, der unter Arachnophobie leidet?",Spinnen,Arachne bedeutet Spinne auf Griechisch,0,What does somebody fear if he is suffering from arachnophobia?,spiders,Arachne means spider in Greek,0,,
14,1,0,,,,,In welchem Jahr begann der zweite Weltkrieg?,1939,,0,In which year did the Second World War begin?,1939,,0,,
15,2,3,,,,,Auf welcher Insel wurde Cristiano Ronaldo geboren?,Madeira,,0,What island was Cristiano Ronaldo born on?,Madeira,,0,,
16,4,2,,,,,Welche Schlange ist die giftigste der Welt?,Inlandtaipan,Er kommt in Australien vor.,0,What snake is the most poisonous in the world?,Inland Taipan,It occurs in Australia.,0,,
17,4,0,,,,,Unter welchem römischen Kaiser wurde im Jahr 80 nach Christus das Kolosseum eröffnet?,Kaiser Titus,Sein Vater Kaiser Vespasian hatte den Grundstein gelegt und starb ein Jahr vor der Fertigstellung.,1,Under what Roman emperor was the Colosseum opened in 80 AD?,Emperor Titus,His father Kaiser Vespasian had laid the foundation stone and died a year before completion.,1,,
18,3,8,,,,,Wer komponierte 1801 die Mondscheinsonate?,Ludwig van Beethoven,Der eigentliche Name lautet Klaviersonate 14.,2,Who composed the moonlight sonata in 1801?,Ludwig van Beethoven,The actual name is piano sonata 14.,2,,
19,4,1,,,,,Welches Land ist flächenmäßig fast genau doppelt so groß wie Brasilien?,Russland,Russland ist mit rund 17 Millionen Quadratkilometern das größte Land der Erde.,0,Which country is almost twice as large as Brazil in terms of area?,Russia,"With around 17 million square kilometers, Russia is the largest country in the world.",0,,
20,4,0,,,,,Hat der Europäische Gerichtshof für Menschenrechte seinen Sitz in Straßburg?,Ja,,0,Is the European Court of Human Rights based in Strasbourg?,Yes,,0,,
21,3,2,,,,,Welche Farbe ist die Komplementärfarbe von Blau?,Orange,,0,What color is the complementary color of blue?,orange,,0,,
22,4,0,,,,,Wie hieß laut griechischer Sage das Schiff der Argonauten?,Argo,"Unter ihrem Anführer Iason fuhren die Argonauten nach Kolchis, um das goldene Vlies des Widders zu rauben.",0,"What was the name of the ship of the Argonauts, according to the Greek legend?",Argo,"Under their leader Iason, the Argonauts drove to Kolchis to rob the ram's golden fleece.",0,,
23,1,9,picasso3,0,,,Wer malte 1937 dieses Gemälde? ,Pablo Picasso,,1,Who created this painting in 1937?,Pablo Picasso,,1,https://unsplash.com/photos/t_64epomhIs,
24,3,0,budapestparlament,0,,,In welcher Stadt steht dieses Parlamentsgebäude?,Budapest,,0,Which city is this parliament building in?,Budapest,,0,https://pixabay.com/images/id-2134868/,
25,1,1,brooklynbridge,0,,,Wie heißt diese Brücke?,Brooklyn Bridge,,0,What is the name of this bridge?,Brooklyn Bridge,,0,https://pixabay.com/images/id-1835647/,
26,1,2,eichelhaeher,0,,,Welcher Vogel ist abgebildet?,Eichelhäher,,0,Which bird is depicted?,jay,,0,https://pixabay.com/images/id-548381/,
27,0,2,ahornsamen,0,,,Von welchem Baum stammen diese Samen?,Ahorn,,0,Which tree do these seeds come from?,maple,,0,https://pixabay.com/images/id-453336/,
28,0,2,hyazinthe1,0,,,Welche Pflanze ist abgebildet?,Hyazinthe,,0,Which plant is shown?,hyacinth,,0,https://pixabay.com/images/id-2202861/,
29,0,1,tuerkei1,0,,,Zu welchem Land gehört diese Flagge?,Türkei,,0,Which country does this flag belong to?,Turkiye,,0,https://pixabay.com/images/id-61070/,
30,2,1,suedamerika1,0,,,Wie heißt das flächenmäßig zweitgrößte Land auf diesem Kontinent?,Argentinien,,0,What is the name of the second largest country on this continent?,Argentina,,0,https://pixabay.com/images/id-74073/,
31,1,0,athen1,0,,,In welcher Stadt wurde dieses Foto geschossen?,Athen,Das Foto entstand auf der Akropolis,0,In which city was this photo taken?,Athens,The photo was taken on the Acropolis,0,https://pixabay.com/images/id-1004336/,
32,1,2,pekinese,0,,,Welche Hunderasse ist hier zu sehen?,Pekinese,,0,Which dog breed can be seen here?,Pekinese,,0,https://pixabay.com/images/id-1532580/,
33,2,1,polen1,0,,,Welches Land hat diesen Umriss?,Polen,,0,Which country has this outline?,Poland,,0,https://pixabay.com/images/id-23558/,
34,2,0,lincoln1,0,,,Wer ist auf diesem Bild zu sehen?,Abraham Lincoln,Präsident der USA von 1861 bis 1865,1,Who can be seen in this picture?,Abraham Lincoln,President of the United States from 1861 to 1865,1,https://pixabay.com/de/photos/abraham-lincoln-president-portrait-60558/,
35,1,7,paella1,0,,,Welches spanische Gericht ist hier zu sehen?,Paella,,0,Which Spanish dish can be seen here?,Paella,,0,https://pixabay.com/de/photos/k%C3%BCche-espagnol-paella-plat-typique-1740965/,
36,1,4,,,,,Unter welcher Bezeichnung ist ein Dens Caninus besser bekannt?,Eckzahn,"Canis bedeutet ""Hund"" auf Lateinisch. Wegen seiner Ausprägung wird der Eckzahn auch Hundszahn genannt. ",0,Under what name is a dens canine better known?,canine,Because of its shape the canine tooth is also called dog tooth,0,,
37,1,4,,,,,Welches Organ ist bei einer Hepatitis entzündet?,Die Leber,Hepar bedeutet Leber auf Lateinisch. -itis ist die typische Endung für eine Entzündung.,1,Which organ is inflamed with hepatitis?,The liver,Hepar means liver in Latin. -itis is the typical ending for inflammation.,1,,
38,4,0,,,,,Unter welchem König befreite die polnische Armee Wien in der Zweiten Türkenbelagerung von 1683?,Jan Sobieski,In der Schlacht am Kahlenberg vom 12. September,1,Under what king did the Polish army free Vienna  in the second Turkish Siege of 1683?,Jan Sobieski,In the Battle of Kahlenberg on September 12th,1,,
39,1,6,,,,,Wie heißt die Siegerin von Germany´s next Topmodel 2019 mit Vornamen?,Simone,,0,What is the first name of Germany's Next Top Model 2019?,Simone,,0,,
40,1,8,,,,,In welcher Stadt befindet sich die Abbey Road vom gleichnamigen Albumcover der Beatles? ,London,,0,In which city is the Abbey Road of the Beatles of the same name?,London,,0,,
41,4,3,,,,,In welchem Land fand 1930 die erste Fußball Weltmeisterschaft der Männer statt?,In Uruguay,Weltmeister wurde Uruguay.,1,In which country did the first men's football world cup take place in 1930?,In Uruguay,Uruguay became world champion.,1,,
42,4,0,,,,,Welcher Architekt entwarf das Wiener Parlamentsgebäude?,Theophil von Hansen,1883 wurde es fertiggestellt.,2,Which architect designed the Viennese parliament building?,Theophil von Hansen,It was completed in 1883.,2,,
43,3,2,,,,,Was ergibt 2 hoch 10?,1024,,0,What is the result of 2 to the power of 10?,1024,,0,,
44,1,1,bulgarien1,0,,,Welches Land ist hier abgebildet?,Bulgarien,,0,Which country is shown here?,Bulgaria,,0,https://pixabay.com/de/illustrations/bulgarien-karte-flagge-land-1489364/,
45,4,0,,,,,Wieviele Kinder gebar die österreichische Erzherzogin Maria Theresia?,Sechzehn.,6 von ihnen starben zu Lebzeiten Maria Theresias.,0,How many children did the Austrian Archduchess Maria Theresa give birth to?,Sixteen.,6 of them died during Maria Theresa's lifetime.,0,,
46,2,7,moscowmule1,0,,,Welcher Cocktail wird hier gleich geschlürft?,Moscow Mule. ,Erkennbar am für ihn typischen Kupferbecher.,0,Which cocktail is sipped here?,Moscow Mule.,Recognizable by its typical copper cup.,0,https://pixabay.com/de/photos/cocktail-moscow-mule-das-getr%C3%A4nk-4421316/,
47,4,0,,,,,Auf welcher Insel vor Kapstadt verbrachte Nelson Mandela 18 Jahre im Gefängnis?,Robben Island,,0,On which island off Cape Town did Nelson Mandela spend 18 years in prison?,Robben Island,,0,,
48,4,2,,,,,Welche Frau beschrieb als erste einen Computer-Bug und wird auch gern Grandma Cobol genannt? ,Grace Hopper,Sie war US-Amerikanerin,1,Which woman was the first to describe a computer bug and also likes to be called Grandma Cobol?,Grace Hopper,She was American.,1,,
49,3,1,,,,,"Wie heißt der einzige Stadtteil New Yorks, der auf dem Festland liegt?",Bronx,,0,What is the name of the only district of New York on the mainland?,Bronx,,0,,
50,3,1,,,,,Welcher Meeresarm trennt die New Yorker Stadtteile Manhattan und Bronx?,Harlem River,,0,Which sea arm separates the New York districts Manhattan and Bronx?,Harlem river,,0,,
51,4,5,,,,,Aus wievielen Zeilen besteht jede Seite der Gutenberg-Bibel?,42,Daher wird die Gutenberg-Bibel auch B-42 genannt.,0,How many lines does each side of the Gutenberg Bible consist of?,42,"Therefore, the Gutenberg Bible is also called B-42.",0,,
52,4,0,,,,,"Welcher Tunnel auf Samos war der erste, der planmäßig im Gegenortvortrieb gebaut wurde?",Der Tunnel des Eupalinos,"Gegenortvortrieb bedeutet, dass man an beiden Enden gräbt und sich in der Mitte trifft.",3,Which tunnel on Samos was the first to be built according to plan using the counter tunneling method?,The tunnel of the Eupalino,Counter location excavation means digging at both ends and meeting in the middle.,3,,
53,0,6,,,,,Wie heißt der einzige weibliche Schlumpfling?,Sassette,,0,What is the name of the only female smurfling?,Sacet,#VALUE!,0,,
54,3,6,,,,,"Wie heißt das Konzept, nach dem in einer Fernsehserie nur ein weiblicher Hauptcharakter unter vielen männlichen Charakteren vorkommt?",Schlumpfine-Prinzip,,0,What is the name of the concept according to which only a female main character in a television series occurs among many male characters?,Smurfine principle,#VALUE!,0,,
55,2,6,,,,,"Wer spielt den Hauptcharakter Tom Sanders im Film ""Enthüllung"" von 1994?",Michael Douglas,,1,"Who plays the main character Tom Sanders in the film ""Unveil"" from 1994?",Michael Douglas,#VALUE!,1,,
56,1,6,,,,,Mit wem war Demi Moore von 2005 bis 2013 verheiratet?,Ashton Kutcher,,1,Who was Demi Moore married to from 2005 to 2013?,Ashton Kutcher,#VALUE!,1,,
57,4,6,,,,,Mit wem war Ashley Ellerin zusammen als sie 2001 im Alter von 22 Jahren in ihrer Wohnung von einem Serienmörder erstochen wurde?,Ashton Kutcher,,1,Who was Ashley Ellerin dating when she was stabbed to death in her apartment by a serial killer in 2001 at the age of 22?,Ashton Kutcher,#VALUE!,1,,
58,2,5,,,,,Wie heißt die berühmte mystische Tradition des Judentums?,Kabbala,,0,What is the name of the famous mystical tradition of Judaism?,Kabbala,#VALUE!,0,,
59,3,0,schloss_johannisburg1,0,,,In welcher Stadt steht dieses Schloss?,Aschaffenburg,Es heißt Schloss Johannisburg,0,In which city is this castle?,Aschaffenburg,It is called Johannisburg Castle,0,https://pixabay.com/de/photos/schloss-johannisburg-deutschland-532953/,
60,1,1,,,,,Zu welchem Land gehört die Insel Bornholm?,Dänemark,,0,Which country does the island of Bornholm belong to?,Denmark,#VALUE!,0,,
61,3,5,,,,,Wer schrieb das Buch Alice im Wunderland?,Lewis Carroll,Im Jahr 1865 erschien es.,1,Who wrote the book Alice in Wonderland?,Lewis Carroll,It appeared in 1865.,1,,
62,1,5,,,,,Aus wessen Feder stammt das Buch Momo?,Michael Ende,Es erschien 1973.,1,The book Momo comes from whose pen?,Michael Ende,It appeared in 1973.,1,,
63,2,5,,,,,"Ein berühmtes Buch von Michael Ende heißt ""Jim Knopf und die wilde...?""",13,,0,"A famous book by Michael Ende is called ""Jim Knopf and the wild ...?""",13,#VALUE!,0,,
64,0,2,,,,,Wer kräht morgens? Der Hahn oder das Huhn?,Natürlich der Hahn,,2,Who crows in the morning? The rooster or the chicken?,Of course the rooster,#VALUE!,3,,
65,0,1,,,,,Wie heißt die Hauptstadt von Österreich?,Wien,,0,What is the capital of Austria?,Vienna,#VALUE!,0,,
66,4,0,,,,,In welchem Jahr starb Elisabeth von Österreich-Ungarn (Sissi)?,1898,Sie wurde in Genf ermordet.,0,In which year Elisabeth of Austria-Hungary (Sissi) died?,1898,She was murdered in Geneva.,0,,
67,4,6,,,,,In welchem Film von 1990 gleitet Nick Carter für einige Sekunden durch den Vorgarten?,Edward mit den Scherenhänden,,3,In which film from 1990 does Nick Carter slide through the front yard for a few seconds?,Edward Scissorhands,,1,,
68,2,3,,,,,Wie heißt der Fußballer Erling Haaland mit zweitem Vornamen?,Braut,,0,What is the name of the footballer Erling Haaland with a second first name?,Braut,,0,,
69,4,0,,,,,"Das Erste Triumvirat im antiken Rom bestand aus Ceasar, Pompeius und... ?",Crassus,,0,"The first triumvirate in ancient Rome consisted of Ceasar, Pompeius and ...?",Crassus,,0,,
70,4,8,,,,,In welcher kanadischen Stadt wurde Justin Bieber 1994 geboren?,London,,0,In which Canadian city was Justin Bieber born in 1994?,London,,0,,
71,4,2,,,,,Mit welchem Satz lässt sich der Flächeninhalt eines Dreiecks anhand seiner drei Seitenlängen berechnen?,Satz des Heron,,2,With which formula can the area of ​​a triangle be calculated based on its three side lengths?,Heron's formula,,0,,
72,3,4,,,,,"Wie heißt die Wissenschaft, die sich mit den Krankheiten der Pflanzen beschäftigt?",Phytomedizin,Phyton bedeutet Pflanze auf Alt-Griechisch,0,What is the name of the science that deals with the diseases of the plants?,phytomedicine,Phyton means plant in Ancient Greek,0,,
73,4,4,,,,,Wie heißt der Fachbegriff für die etwa zweiwöchige Phase zwischen dem Eisprung  und dem Einsetzen der nächsten Periode? ,Lutealphase ,Auch bekannt als Gelbkörperphase,0,What is the technical term for the approximately two-week period between ovulation and the onset of the next period? ,,Luteal phase,0,,
